Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Naturaleza jurídica;Periodo;Total
Nacional;;;Empresas: personas físicas;2010T4;64
Nacional;;;Empresas: personas físicas;2010T3;62
Nacional;;;Empresas: personas físicas;2010T2;70
Nacional;;;Empresas: personas físicas;2010T1;66
Nacional;;;Empresas: personas físicas;2009T4;83
Nacional;;;Empresas: personas físicas;2009T3;56
Nacional;;;Empresas: personas físicas;2009T2;82
Nacional;;;Empresas: personas físicas;2009T1;64
Nacional;;;Empresas: personas físicas;2008T4;63
Nacional;;;Empresas: personas físicas;2008T3;28
Nacional;;;Empresas: personas físicas;2008T2;30
Nacional;;;Empresas: personas físicas;2008T1;12
Nacional;;;Empresas: personas físicas;2007T4;11
Nacional;;;Empresas: personas físicas;2007T3;4
Nacional;;;Empresas: personas físicas;2007T2;6
Nacional;;;Empresas: personas físicas;2007T1;10
Nacional;;;Empresas: personas físicas;2006T4;7
Nacional;;;Empresas: personas físicas;2006T3;3
Nacional;;;Empresas: personas físicas;2006T2;9
Nacional;;;Empresas: personas físicas;2006T1;5
Nacional;;;Empresas: personas físicas;2005T4;6
Nacional;;;Empresas: personas físicas;2005T3;6
Nacional;;;Empresas: personas físicas;2005T2;10
Nacional;;;Empresas: personas físicas;2005T1;3
Nacional;;;Empresas: S.A.;2020T4;82
Nacional;;;Empresas: S.A.;2020T3;68
Nacional;;;Empresas: S.A.;2020T2;64
Nacional;;;Empresas: S.A.;2020T1;79
Nacional;;;Empresas: S.A.;2019T4;120
Nacional;;;Empresas: S.A.;2019T3;60
Nacional;;;Empresas: S.A.;2019T2;96
Nacional;;;Empresas: S.A.;2019T1;108
Nacional;;;Empresas: S.A.;2018T4;105
Nacional;;;Empresas: S.A.;2018T3;85
Nacional;;;Empresas: S.A.;2018T2;97
Nacional;;;Empresas: S.A.;2018T1;91
Nacional;;;Empresas: S.A.;2017T4;97
Nacional;;;Empresas: S.A.;2017T3;93
Nacional;;;Empresas: S.A.;2017T2;115
Nacional;;;Empresas: S.A.;2017T1;120
Nacional;;;Empresas: S.A.;2016T4;133
Nacional;;;Empresas: S.A.;2016T3;104
Nacional;;;Empresas: S.A.;2016T2;123
Nacional;;;Empresas: S.A.;2016T1;119
Nacional;;;Empresas: S.A.;2015T4;128
Nacional;;;Empresas: S.A.;2015T3;144
Nacional;;;Empresas: S.A.;2015T2;195
Nacional;;;Empresas: S.A.;2015T1;211
Nacional;;;Empresas: S.A.;2014T4;219
Nacional;;;Empresas: S.A.;2014T3;194
Nacional;;;Empresas: S.A.;2014T2;288
Nacional;;;Empresas: S.A.;2014T1;308
Nacional;;;Empresas: S.A.;2013T4;386
Nacional;;;Empresas: S.A.;2013T3;300
Nacional;;;Empresas: S.A.;2013T2;435
Nacional;;;Empresas: S.A.;2013T1;477
Nacional;;;Empresas: S.A.;2012T4;435
Nacional;;;Empresas: S.A.;2012T3;261
Nacional;;;Empresas: S.A.;2012T2;358
Nacional;;;Empresas: S.A.;2012T1;361
Nacional;;;Empresas: S.A.;2011T4;273
Nacional;;;Empresas: S.A.;2011T3;202
Nacional;;;Empresas: S.A.;2011T2;227
Nacional;;;Empresas: S.A.;2011T1;290
Nacional;;;Empresas: S.A.;2010T4;248
Nacional;;;Empresas: S.A.;2010T3;185
Nacional;;;Empresas: S.A.;2010T2;188
Nacional;;;Empresas: S.A.;2010T1;264
Nacional;;;Empresas: S.A.;2009T4;239
Nacional;;;Empresas: S.A.;2009T3;180
Nacional;;;Empresas: S.A.;2009T2;267
Nacional;;;Empresas: S.A.;2009T1;310
Nacional;;;Empresas: S.A.;2008T4;225
Nacional;;;Empresas: S.A.;2008T3;146
Nacional;;;Empresas: S.A.;2008T2;101
Nacional;;;Empresas: S.A.;2008T1;79
Nacional;;;Empresas: S.A.;2007T4;65
Nacional;;;Empresas: S.A.;2007T3;51
Nacional;;;Empresas: S.A.;2007T2;70
Nacional;;;Empresas: S.A.;2007T1;55
Nacional;;;Empresas: S.A.;2006T4;51
Nacional;;;Empresas: S.A.;2006T3;48
Nacional;;;Empresas: S.A.;2006T2;52
Nacional;;;Empresas: S.A.;2006T1;73
Nacional;;;Empresas: S.A.;2005T4;73
Nacional;;;Empresas: S.A.;2005T3;59
Nacional;;;Empresas: S.A.;2005T2;65
Nacional;;;Empresas: S.A.;2005T1;59
Nacional;;;Empresas: S.R.L.;2020T4;1.151
Nacional;;;Empresas: S.R.L.;2020T3;908
Nacional;;;Empresas: S.R.L.;2020T2;630
Nacional;;;Empresas: S.R.L.;2020T1;918
Nacional;;;Empresas: S.R.L.;2019T4;1.077
Nacional;;;Empresas: S.R.L.;2019T3;865
Nacional;;;Empresas: S.R.L.;2019T2;919
Nacional;;;Empresas: S.R.L.;2019T1;968
Nacional;;;Empresas: S.R.L.;2018T4;918
Nacional;;;Empresas: S.R.L.;2018T3;662
Nacional;;;Empresas: S.R.L.;2018T2;1.012
Nacional;;;Empresas: S.R.L.;2018T1;873
Nacional;;;Empresas: S.R.L.;2017T4;924
Nacional;;;Empresas: S.R.L.;2017T3;661
Nacional;;;Empresas: S.R.L.;2017T2;971
Nacional;;;Empresas: S.R.L.;2017T1;872
Nacional;;;Empresas: S.R.L.;2016T4;918
Nacional;;;Empresas: S.R.L.;2016T3;737
Nacional;;;Empresas: S.R.L.;2016T2;890
Nacional;;;Empresas: S.R.L.;2016T1;877
Nacional;;;Empresas: S.R.L.;2015T4;1.054
Nacional;;;Empresas: S.R.L.;2015T3;863
Nacional;;;Empresas: S.R.L.;2015T2;1.044
Nacional;;;Empresas: S.R.L.;2015T1;1.145
Nacional;;;Empresas: S.R.L.;2014T4;1.262
Nacional;;;Empresas: S.R.L.;2014T3;1.073
Nacional;;;Empresas: S.R.L.;2014T2;1.344
Nacional;;;Empresas: S.R.L.;2014T1;1.521
Nacional;;;Empresas: S.R.L.;2013T4;1.682
Nacional;;;Empresas: S.R.L.;2013T3;1.398
Nacional;;;Empresas: S.R.L.;2013T2;1.908
Nacional;;;Empresas: S.R.L.;2013T1;2.105
Nacional;;;Empresas: S.R.L.;2012T4;1.883
Nacional;;;Empresas: S.R.L.;2012T3;1.185
Nacional;;;Empresas: S.R.L.;2012T2;1.597
Nacional;;;Empresas: S.R.L.;2012T1;1.539
Nacional;;;Empresas: S.R.L.;2011T4;1.294
Nacional;;;Empresas: S.R.L.;2011T3;913
